类型 1: 项目编码相同，项目名称不同 (15 项)
序号,项目编码,清单 1 名称,清单 2 名称,清单 3 名称,差异说明,建议
1,040103002003,建渣外运,建渣外运,余方弃置（起运,,需澄清
2,041001001001,混凝土路面拆除,混凝土路面拆除,原有水泥路面拆,,需澄清
3,040103002005,建渣外运,建渣外运,建渣外运（起运,,需澄清
4,040203006001,5cm厚改性沥青,5cm厚改性沥青,沥青路面恢复,,需澄清
5,040103002002,余方弃置,余方弃置,建渣外运（每增,,需澄清
6,040103002001,建渣外运,建渣外运,建渣外运（起运,,需澄清
7,041001001002,车行道沥青路面,车行道沥青路面,碎石垫层拆除,,需澄清
8,040103002004,余方弃置,余方弃置,余方弃置（每增,,需澄清
9,041001001004,车行道沥青路面,车行道沥青路面,碎石垫层拆除,,需澄清
10,041001006008,拆除原有,拆除原有,拆除DN300塑料,清单 3 明确管径规格,建议采用清单 3 命名
11,040203007001,透水混凝土基层,透水混凝土基层,车行道水泥路面,,需澄清
12,040103002006,余方弃置,余方弃置,建渣外运（每增,,需澄清
13,041001001003,混凝土路面拆除,混凝土路面拆除,原有沥青路面拆,,需澄清
14,041106001001,高空作业车,高空作业车,大型机械设备进,,需澄清
15,040303006001,混凝土支撑腰梁,混凝土支撑腰梁,混凝土支撑护壁,,需澄清

类型 2: 项目名称相同，项目特征不同 (22 项)
序号,项目编码,项目名称,清单 1 特征摘要,清单 2 特征摘要,清单 3 特征摘要,关键差异,风险提示,建议
16,040204002001,人行道透水砖路,1.块料品种:6cm厚透水砖 2.块料规格、颜色:同现状 3.其他:满足设计及规范要 求,1.块料品种:6cm厚透水砖 2.块料规格、颜色:同现状 3.其他:满足设计及规范要 求,1.路床:夯实土基 2.块料品种、规格:6cm厚透 水砖 3.基础、垫层：材料品种、 厚度:防渗土工布、150mm厚 级配碎石，150mm厚C20透水 混凝土，,清单 3 详细描述垫层结构,清单 1&2'同现状'可能产生歧义,采用清单 3 详细描述
17,041001006007,拆除原有,1.材质:塑料管 2.管径:DN300 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:塑料管 2.管径:DN300 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:塑料管 2.管径:DN300 3.其他:满足设计及规范要 求,特征描述详略不同,结算时可能产生争议,统一特征描述
18,060104002002,管道清淤,1.管道直径:结合现场综合 考虑 2.修复内容:污水管清除沉 积、疏通沉积 3.清淤、除垢方式:机械清 淤 4.堵塞程度:堵塞程度1/2- 3/4之间 5.运距,1.管道直径:结合现场综合 考虑 2.修复内容:污水管清除沉 积、疏通沉积 3.清淤、除垢方式:机械清 淤 4.堵塞程度:堵塞程度1/2- 3/4之间 5.运距,1.管道直径:结合现场综合 考虑 2.修复内容:污水管清除沉 积、疏通沉积 3.清淤、除垢方式:机械清 淤 4.堵塞程度:堵塞程度1/2- 3/4之间 5.运距,特征描述详略不同,结算时可能产生争议,统一特征描述
19,010512008003,现状排水沟增加,1.单件尺寸:详设计 2.安装高度:综合考虑 3.混凝土强度等级:C30商品 砼预制，钢筋详设计 4.模板:含模板综合考虑 5.其他:满足设计及规范要 求,1.单件尺寸:详设计 2.安装高度:综合考虑 3.混凝土强度等级:C30商品 砼预制，钢筋详设计 4.模板:含模板综合考虑 5.其他:满足设计及规范要 求,1.单件尺寸:详图纸 2.安装高度:综合考虑 3.混凝土强度等级:C30商品 砼预制，钢筋详设计 4.模板:含模板综合考虑 5.其他:满足设计及规范要 求,特征描述详略不同,结算时可能产生争议,统一特征描述
20,041001002003,透水砖人行道路,1.饰面材料种类及厚度:透 水砖人行道路面 2.拆除厚度:综合考虑 3.拆除方式:综合考虑 4.场内运距:综合考虑 5.其他:满足设计及规范要 求,1.饰面材料种类及厚度:透 水砖人行道路面 2.拆除厚度:综合考虑 3.拆除方式:综合考虑 4.场内运距:综合考虑 5.其他:满足设计及规范要 求,1.饰面材料种类及厚度:透 水砖人行道路面 2.拆除厚度:24cm 3.拆除方式:综合考虑 4.其他:满足设计及规范要 求,清单 3 明确厚度 24cm,清单 1&2 可能产生厚度争议,明确按 24cm 执行
21,041001006002,拆除原有,1.材质:砼管道 2.管径:DN400 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:砼管道 2.管径:DN400 3.其他:满足设计及规范要 求 4.拆除方式:综合考虑 5.场内运距:综合考虑,1.材质:砼管道 2.管径:DN400 3.其他:满足设计及规范要 求,特征描述详略不同,结算时可能产生争议,统一特征描述
22,010404001002,砂垫层,1.材料品种、规格:机制砂 2.密实度要求:满足设计及 规范要求 3.厚度:满足设计及规范要 求 4.其他:满足设计及规范要 求,1.材料品种、规格:机制砂 2.密实度要求:满足设计及 规范要求 3.厚度:满足设计及规范要 求 4.其他:满足设计及规范要 求,1.材料品种、规格:机制砂 2.厚度:满足设计及规范要 求 3.其他:满足设计及规范要 求 4.密实度要求:满足设计及 规范要求,特征描述详略不同,结算时可能产生争议,统一特征描述

工程量清单差异汇总表
差异类型,数量,风险等级,处理建议,预计影响金额
类型 1: 编码相同名称不同,15,高,签订补充协议明确命名规范,待评估
类型 2: 名称相同特征不同,22,中,统一特征描述，避免结算争议,待评估
类型 3: 名称相同单价不同,0,低,暂无差异,0
合计,37,-,-,-
